"ano";"tipo_emprego";"tec";"vinculos"
"2012";"Celetista";"Não Técnico";"563746"
"2012";"Celetista";"Técnico";"128356"
"2012";"Estatutário";"Não Técnico";"160755"
"2012";"Estatutário";"Técnico";"96550"
"2012";"Outros";"Não Técnico";"4978"
"2012";"Outros";"Técnico";"2856"
"2013";"Celetista";"Não Técnico";"596397"
"2013";"Celetista";"Técnico";"148148"
"2013";"Estatutário";"Não Técnico";"162515"
"2013";"Estatutário";"Técnico";"100897"
"2013";"Outros";"Não Técnico";"5171"
"2013";"Outros";"Técnico";"2085"
"2014";"Celetista";"Não Técnico";"584593"
"2014";"Celetista";"Técnico";"150276"
"2014";"Estatutário";"Não Técnico";"165852"
"2014";"Estatutário";"Técnico";"100982"
"2014";"Outros";"Não Técnico";"6321"
"2014";"Outros";"Técnico";"2458"
"2015";"Celetista";"Não Técnico";"569231"
"2015";"Celetista";"Técnico";"156959"
"2015";"Estatutário";"Não Técnico";"158295"
"2015";"Estatutário";"Técnico";"102235"
"2015";"Outros";"Não Técnico";"6595"
"2015";"Outros";"Técnico";"1836"
"2016";"Celetista";"Não Técnico";"544221"
"2016";"Celetista";"Técnico";"158210"
"2016";"Estatutário";"Não Técnico";"147213"
"2016";"Estatutário";"Técnico";"102061"
"2016";"Outros";"Não Técnico";"4971"
"2016";"Outros";"Técnico";"1675"
"2017";"Celetista";"Não Técnico";"543165"
"2017";"Celetista";"Técnico";"160407"
"2017";"Estatutário";"Não Técnico";"140015"
"2017";"Estatutário";"Técnico";"106094"
"2017";"Outros";"Não Técnico";"5595"
"2017";"Outros";"Técnico";"857"
"2018";"Celetista";"Não Técnico";"537446"
"2018";"Celetista";"Técnico";"173122"
"2018";"Estatutário";"Não Técnico";"131627"
"2018";"Estatutário";"Técnico";"100180"
"2018";"Outros";"Não Técnico";"6235"
"2018";"Outros";"Técnico";"865"
"2019";"Celetista";"Não Técnico";"494223"
"2019";"Celetista";"Técnico";"149970"
"2019";"Estatutário";"Não Técnico";"138797"
"2019";"Estatutário";"Técnico";"100437"
"2019";"Outros";"Não Técnico";"6412"
"2019";"Outros";"Técnico";"769"
"2020";"Celetista";"Não Técnico";"460172"
"2020";"Celetista";"Técnico";"148377"
"2020";"Estatutário";"Não Técnico";"139008"
"2020";"Estatutário";"Técnico";"95378"
"2020";"Outros";"Não Técnico";"5909"
"2020";"Outros";"Técnico";"1704"
"2021";"Celetista";"Não Técnico";"529154"
"2021";"Celetista";"Técnico";"184653"
"2021";"Estatutário";"Não Técnico";"128640"
"2021";"Estatutário";"Técnico";"98133"
"2021";"Outros";"Não Técnico";"8807"
"2021";"Outros";"Técnico";"5225"
"2012";"Geral";"Não Técnico";"729479"
"2012";"Geral";"Técnico";"227762"
"2013";"Geral";"Não Técnico";"764083"
"2013";"Geral";"Técnico";"251130"
"2014";"Geral";"Não Técnico";"756766"
"2014";"Geral";"Técnico";"253716"
"2015";"Geral";"Não Técnico";"734121"
"2015";"Geral";"Técnico";"261030"
"2016";"Geral";"Não Técnico";"696405"
"2016";"Geral";"Técnico";"261946"
"2017";"Geral";"Não Técnico";"688775"
"2017";"Geral";"Técnico";"267358"
"2018";"Geral";"Não Técnico";"675308"
"2018";"Geral";"Técnico";"274167"
"2019";"Geral";"Não Técnico";"639432"
"2019";"Geral";"Técnico";"251176"
"2020";"Geral";"Não Técnico";"605089"
"2020";"Geral";"Técnico";"245459"
"2021";"Geral";"Não Técnico";"666601"
"2021";"Geral";"Técnico";"288011"
